Sample_#,CAMPUS,YEAR_x,CNAME_x,DNAME_x,e1_all_docs_n,e1_all_unsatgl_rm,e1_all_approgl_rm,e1_all_meetsgl_rm,e1_all_mastrgl_rm,YEAR_y,CNAME_y,DNAME_y,e2_all_docs_n,e2_all_unsatgl_rm,e2_all_approgl_rm,e2_all_meetsgl_rm,e2_all_mastrgl_rm
1340,159901001,17,EAGLE PASS HIGH,EAGLE PASS ISD,680,34,66,48,5,18,EAGLE PASS HIGH,EAGLE PASS ISD,641,29,71,53,5
1341,159901004,17,C C WINN HIGH S,EAGLE PASS ISD,662,43,57,39,3,18,C C WINN HIGH S,EAGLE PASS ISD,633,38,62,46,4
1342,160901001,17,BRADY H S,BRADY ISD,91,43,57,41,4,18,BRADY H S,BRADY ISD,84,35,65,47,8
1343,160904001,17,ROCHELLE SCHOOL,ROCHELLE ISD,13,38,62,31,0,18,ROCHELLE SCHOOL,ROCHELLE ISD,14,36,64,36,0
1344,160905001,17,LOHN SCHOOL,LOHN ISD,14,71,29,14,0,18,LOHN SCHOOL,LOHN ISD,10,80,20,10,0
1345,161802001,17,PAUL AND JANE M,RAPOPORT ACADEM,48,29,71,50,4,18,PAUL AND JANE M,RAPOPORT ACADEM,44,27,73,61,9
1346,161807003,17,HARMONY SCIENCE,HARMONY SCIENCE,143,36,64,43,4,18,HARMONY SCIENCE,HARMONY SCIENCE,143,36,64,45,4
1347,161807005,17,HARMONY SCHOOL,HARMONY SCIENCE,56,20,80,64,7,18,HARMONY SCHOOL,HARMONY SCIENCE,45,33,67,44,2
1348,161807006,17,HARMONY SCHOOL,HARMONY SCIENCE,111,22,78,62,11,18,HARMONY SCHOOL,HARMONY SCIENCE,93,18,82,66,9
1349,161807009,17,HARMONY SCIENCE,HARMONY SCIENCE,105,16,84,64,16,18,HARMONY SCIENCE,HARMONY SCIENCE,84,34,66,53,14
1350,161807010,17,HARMONY SCHOOL,HARMONY SCIENCE,118,36,64,44,9,18,HARMONY SCHOOL,HARMONY SCIENCE,93,31,69,49,12
1351,161807011,17,HARMONY SCHOOL,HARMONY SCIENCE,118,15,85,69,11,18,HARMONY SCHOOL,HARMONY SCIENCE,104,11,89,72,21
1352,161807013,17,HARMONY SCIENCE,HARMONY SCIENCE,79,16,84,71,11,18,HARMONY SCIENCE,HARMONY SCIENCE,67,17,83,73,11
1353,161901001,17,CRAWFORD H S,CRAWFORD ISD,49,10,90,76,14,18,CRAWFORD H S,CRAWFORD ISD,46,7,93,80,24
1354,161903001,17,MIDWAY H S,MIDWAY ISD,635,22,78,63,18,18,MIDWAY H S,MIDWAY ISD,616,14,86,73,18
1355,161906002,17,LA VEGA H S,LA VEGA ISD,330,63,37,27,1,18,LA VEGA H S,LA VEGA ISD,311,58,42,25,1
1356,161907001,17,LORENA HIGH,LORENA ISD,145,19,81,68,12,18,LORENA HIGH,LORENA ISD,146,19,81,68,15
1357,161908002,17,MART H S,MART ISD,43,44,56,33,2,18,MART H S,MART ISD,45,47,53,35,2
1358,161909001,17,MCGREGOR H S,MCGREGOR ISD,107,42,58,42,3,18,MCGREGOR H S,MCGREGOR ISD,106,30,70,49,4
1359,161910001,17,MOODY H S,MOODY ISD,75,44,56,29,3,18,MOODY H S,MOODY ISD,64,42,58,45,5
1360,161912001,17,RIESEL SCHOOL,RIESEL ISD,73,42,58,50,7,18,RIESEL SCHOOL,RIESEL ISD,59,20,80,73,12
1361,161914002,17,WACO H S,WACO ISD,803,59,41,23,2,18,WACO H S,WACO ISD,664,54,46,28,3
1362,161914003,17,UNIVERSITY H S,WACO ISD,634,59,41,21,2,18,UNIVERSITY H S,WACO ISD,578,45,55,35,2
1363,161914004,17,CHALLENGE ACADE,WACO ISD,2,,,,,18,CHALLENGE ACADE,WACO ISD,1,,,,
1364,161914007,17,BRAZOS H S,WACO ISD,90,79,21,4,0,18,BRAZOS H S,WACO ISD,72,80,20,7,0
1365,161916001,17,WEST H S,WEST ISD,125,26,74,60,4,18,WEST H S,WEST ISD,115,16,84,69,8
1366,161916198,17,WEST BROOKHAVEN,WEST ISD,14,86,14,7,0,18,WEST BROOKHAVEN,WEST ISD,16,50,50,31,0
1367,161918001,17,AXTELL H S,AXTELL ISD,60,36,64,46,7,18,AXTELL H S,AXTELL ISD,52,27,73,58,8
1368,161918199,17,WACO CTR FOR YO,AXTELL ISD,28,63,37,15,0,18,WACO CTR FOR YO,AXTELL ISD,13,67,33,25,8
1369,161919001,17,BRUCEVILLE-EDDY,BRUCEVILLE-EDDY,81,35,65,55,8,18,BRUCEVILLE-EDDY,BRUCEVILLE-EDDY,70,19,81,62,9
1370,161920001,17,CHINA SPRING H,CHINA SPRING IS,207,17,83,67,14,18,CHINA SPRING H,CHINA SPRING IS,212,14,86,72,15
1371,161920002,17,TAG,CHINA SPRING IS,2,,,,,18,TAG,CHINA SPRING IS,7,83,17,17,0
1372,161921001,17,CONNALLY HIGH S,CONNALLY ISD,196,47,53,34,4,18,CONNALLY HIGH S,CONNALLY ISD,172,35,65,45,3
1373,161922001,17,ROBINSON H S,ROBINSON ISD,195,34,66,47,6,18,ROBINSON H S,ROBINSON ISD,180,24,76,59,9
1374,161923001,17,BOSQUEVILLE H S,BOSQUEVILLE ISD,47,26,74,62,13,18,BOSQUEVILLE H S,BOSQUEVILLE ISD,47,23,77,57,11
1375,161925101,17,GHOLSON SCHOOL,GHOLSON ISD,25,56,44,24,4,18,GHOLSON SCHOOL,GHOLSON ISD,24,17,83,46,4
1376,162904001,17,MCMULLEN COUNTY,MCMULLEN COUNTY,20,20,80,65,15,18,MCMULLEN COUNTY,MCMULLEN COUNTY,20,5,95,80,25
1377,163901001,17,DEVINE H S,DEVINE ISD,187,40,60,41,6,18,DEVINE H S,DEVINE ISD,170,38,62,49,7
1378,163902001,17,D'HANIS SCHOOL,D'HANIS ISD,22,45,55,45,9,18,D'HANIS SCHOOL,D'HANIS ISD,24,36,64,59,18
1379,163903001,17,NATALIA H S,NATALIA ISD,98,40,60,33,3,18,NATALIA H S,NATALIA ISD,91,38,62,37,1
1380,163904001,17,HONDO H S,HONDO ISD,212,47,53,33,5,18,HONDO H S,HONDO ISD,194,32,68,49,7
1381,163908001,17,MEDINA VALLEY H,MEDINA VALLEY I,446,32,68,53,9,18,MEDINA VALLEY H,MEDINA VALLEY I,431,20,80,65,15
1382,164901001,17,MENARD H S,MENARD ISD,29,46,54,39,4,18,MENARD H S,MENARD ISD,25,50,50,46,13
1383,165901002,17,LEE H S,MIDLAND ISD,296,84,16,4,0,18,LEE H S,MIDLAND ISD,937,40,60,40,5
1384,165901003,17,MIDLAND H S,MIDLAND ISD,321,90,10,2,0,18,MIDLAND H S,MIDLAND ISD,1061,48,52,35,3
1385,165901004,17,VIOLA M COLEMAN,MIDLAND ISD,62,81,19,10,0,18,VIOLA M COLEMAN,MIDLAND ISD,52,72,28,12,0
1386,165901006,17,EARLY COLLEGE H,MIDLAND ISD,73,1,99,84,22,18,EARLY COLLEGE H,MIDLAND ISD,67,6,94,87,10
1387,165901020,17,BARBARA CULVER,MIDLAND ISD,3,,,,,18,BARBARA CULVER,MIDLAND ISD,2,,,,
1388,165901030,17,MIDLAND ALTERNA,MIDLAND ISD,13,75,25,0,0,18,MIDLAND ALTERNA,MIDLAND ISD,8,100,0,0,0
1389,165901044,17,MIDLAND FRESHMA,MIDLAND ISD,775,37,63,44,3,18,MIDLAND FRESHMA,MIDLAND ISD,1,,,,
1390,165902001,17,GREENWOOD H S,GREENWOOD ISD,210,36,64,47,7,18,GREENWOOD H S,GREENWOOD ISD,210,27,73,54,7
1391,166901002,17,CAMERON YOE H S,CAMERON ISD,156,44,56,40,3,18,CAMERON YOE H S,CAMERON ISD,141,39,61,42,5
1392,166903001,17,MILANO H S,MILANO ISD,48,52,48,33,6,18,MILANO H S,MILANO ISD,54,43,57,32,9
1393,166904001,17,ROCKDALE H S,ROCKDALE ISD,126,43,57,41,1,18,ROCKDALE H S,ROCKDALE ISD,119,34,66,52,7
