FID,SDLEA10,NAME,NAME2,E1E2_STAAR,DISTRICT_N,DISTRICT,DISTRICT_C,NCES_DISTR,COLOR,Shape_area,Shape_len,Shape__Area,Shape__Length
767,16110,Cypress-Fairbanks ISD,Cypress-Fairbanks,1,101907,101-907,101907,4816110,4,487473916.9,117241.6228,653627725.3,135747.4859
880,16140,D'Hanis ISD,D'Hanis,-5,163902,163-902,163902,4816140,7,984595735.6,174226.1757,1304253006,200723.6515
977,16180,Daingerfield-Lone Star ISD,Daingerfield-Lone Star,-5,172902,172-902,172902,4816180,4,338470095.3,121104.5419,484335827.2,144911.4693
163,16200,Dalhart ISD,Dalhart,-5,56901,056-901,56901,4816200,5,2200222112,281324.6956,3369909313,348001.173
987,16230,Dallas ISD,Dallas,1,57905,057-905,57905,4816230,2,987399920,268210.8824,1404300526,319971.1188
763,16260,Damon ISD,Damon,-5,20910,020-910,20910,4816260,5,159427875.6,66115.05628,210898144,76016.21041
780,16290,Danbury ISD,Danbury,-5,20904,020-904,20904,4816290,7,171409119.4,87331.26518,226527797.5,100371.9569
470,16320,Darrouzett ISD,Darrouzett,-5,148905,148-905,148905,4816320,1,491376314.8,134972.4207,755980245.8,167451.3049
39,16350,Dawson ISD (Dawson),Dawson (Dawson),0,58902,058-902,58902,4816350,4,356488702.3,85458.44501,509039582.5,102125.6255
869,16380,Dawson ISD (Navarro),Dawson (Navarro),-5,175904,175-904,175904,4816380,5,435226242.4,139578.4011,608195675.9,164978.6911
843,16410,Dayton ISD,Dayton,-5,146902,146-902,146902,4816410,4,675902885.5,178401.2215,908449771.2,206821.8134
329,16570,De Kalb ISD,De Kalb,-5,19901,019-901,19901,4816570,4,674652274.1,254713.027,975806762.4,306463.2658
107,16440,De Leon ISD,De Leon,-5,47902,047-902,47902,4816440,2,631611650.5,295857.6184,886923013.7,350734.6348
1019,16500,Decatur ISD,Decatur,-5,249905,249-905,249905,4816500,5,552032083.4,158604.6955,793612701.1,190223.4353
749,16530,Deer Park ISD,Deer Park,-5,101908,101-908,101908,4816530,5,103238807.2,87292.89197,137836335.7,100866.1703
816,16620,Del Valle ISD,Del Valle,0,227910,227-910,227910,4816620,7,438856712.7,127480.5747,591506780.1,148042.3028
201,16650,Dell City ISD,Dell City,-5,115903,115-903,115903,4816650,5,1593091216,180334.1767,2224242912,212969.6076
15,16710,Denison ISD,Denison,-5,91903,091-903,91903,4816710,6,251289220.5,113770.4707,365295396.6,137169.6563
1021,16740,Denton ISD,Denton,-1,61901,061-901,61901,4816740,5,440252761.9,198752.187,632573568.9,238212.1615
425,16770,Denver City ISD,Denver City,-5,251901,251-901,251901,4816770,7,403205141,144869.2198,576926188.1,173196.4424
243,16860,DeSoto ISD,DeSoto,-5,57906,057-906,57906,4816860,5,57775193.52,32473.82059,81904239.48,38662.73003
660,16890,Detroit ISD,Detroit,-5,194905,194-905,194905,4816890,7,576096744.6,147364.0488,837470318.2,177820.4083
848,16920,Devers ISD,Devers,-5,146903,146-903,146903,4816920,2,397885349.5,97129.28564,534208430,112593.362
618,16950,Devine ISD,Devine,-5,163901,163-901,163901,4816950,3,510703242.7,164261.3828,673541839.2,188653.9966
401,16980,Dew ISD,Dew,-5,81906,081-906,81906,4816980,2,155982717.1,69418.11622,216560562,81779.08591
276,17010,Deweyville ISD,Deweyville,-5,176903,176-903,176903,4817010,1,439833072.3,128601.7509,595220607.9,149616.6034
800,17040,Diboll ISD,Diboll,-5,3905,003-905,3905,4817040,1,296059810.4,117334.9209,407406990.6,137635.5126
739,17070,Dickinson ISD,Dickinson,-5,84901,084-901,84901,4817070,5,239231813.1,100713.1913,317699747,116006.357
34,17100,Dilley ISD,Dilley,-5,82902,082-902,82902,4817100,4,883913286.5,166648.0431,1155738697,190615.3507
723,17130,Dime Box ISD,Dime Box,-5,144903,144-903,144903,4817130,5,244849656.4,129114.8953,331085181.8,150138.9307
43,17160,Dimmitt ISD,Dimmitt,-5,35901,035-901,35901,4817160,7,1157645608,199793.2095,1712360904,242983.5212
883,17190,Divide ISD,Divide,-5,133905,133-905,133905,4817190,1,723976374.6,163317.5939,974058684.4,189472.2409
696,17280,Dodd City ISD,Dodd City,-5,74904,074-904,74904,4817280,3,117096492.5,91696.37862,169605195.8,110337.1809
937,17390,Donna ISD,Donna,0,108902,108-902,108902,4817390,5,227876546.3,81026.98552,283071056,90412.15546
